Block at (128, 288) - Average Color, 179, 184,132 ,- Closest Color:, Reddish Orange Light, G#3
Block at (160, 288) - Average Color, 203, 198,138 ,- Closest Color:, Reddish Orange Light, G#3
Block at (192, 288) - Average Color, 205, 194,149 ,- Closest Color:, Reddish Orange Light, G#3
Block at (0, 320) - Average Color, 120, 141,59 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (32, 320) - Average Color, 122, 132,71 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (64, 320) - Average Color, 89, 106,76 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (96, 320) - Average Color, 89, 129,114 ,- Closest Color:, Turquoise Darker, C#1
Block at (128, 320) - Average Color, 113, 143,146 ,- Closest Color:, Turquoise Dark, C#2
Block at (160, 320) - Average Color, 158, 187,145 ,- Closest Color:, Green Light, C3
Block at (192, 320) - Average Color, 199, 205,133 ,- Closest Color:, Reddish Orange Light, G#3
Block at (0, 352) - Average Color, 79, 93,33 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (32, 352) - Average Color, 69, 82,41 ,- Closest Color:, Darker Violet Darker, F1
Block at (64, 352) - Average Color, 30, 52,52 ,- Closest Color:, Indigo Darker, D#1
Block at (96, 352) - Average Color, 29, 60,83 ,- Closest Color:, Indigo Darker, D#1
Block at (128, 352) - Average Color, 76, 92,129 ,- Closest Color:, Turquoise Darker, C#1
Block at (160, 352) - Average Color, 117, 129,118 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (192, 352) - Average Color, 188, 163,98 ,- Closest Color:, Lemon Yellow Dark, H/B2
