Block at (0, 115) - Average Color, 68, 119,93 ,- Closest Color:, Turquoise Darker, C#1
Block at (23, 115) - Average Color, 97, 121,108 ,- Closest Color:, Turquoise Darker, C#1
Block at (46, 115) - Average Color, 110, 93,84 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (69, 115) - Average Color, 71, 80,112 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 115) - Average Color, 71, 77,103 ,- Closest Color:, Dark Violet Darker, E1
Block at (115, 115) - Average Color, 105, 117,139 ,- Closest Color:, Turquoise Darker, C#1
Block at (138, 115) - Average Color, 172, 176,101 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (161, 115) - Average Color, 38, 104,96 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 115) - Average Color, 120, 120,100 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (207, 115) - Average Color, 130, 143,127 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (230, 115) - Average Color, 201, 173,61 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (253, 115) - Average Color, 189, 169,68 ,- Closest Color:, Lemon Yellow Dark, H/B2
Block at (276, 115) - Average Color, 188, 158,40 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (0, 138) - Average Color, 77, 106,79 ,- Closest Color:, Turquoise Darker, C#1
Block at (23, 138) - Average Color, 83, 112,107 ,- Closest Color:, Turquoise Darker, C#1
Block at (46, 138) - Average Color, 90, 85,80 ,- Closest Color:, Darker Violet Darker, F1
Block at (69, 138) - Average Color, 57, 54,64 ,- Closest Color:, Darker Violet Darker, F1
Block at (92, 138) - Average Color, 60, 57,79 ,- Closest Color:, Darker Violet Darker, F1
Block at (115, 138) - Average Color, 103, 92,126 ,- Closest Color:, Indigo Light, D#3
Block at (138, 138) - Average Color, 160, 157,109 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (161, 138) - Average Color, 91, 106,77 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (184, 138) - Average Color, 107, 146,117 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (207, 138) - Average Color, 158, 139,96 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (230, 138) - Average Color, 175, 168,61 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (253, 138) - Average Color, 170, 158,66 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (276, 138) - Average Color, 161, 128,37 ,- Closest Color:, Yellow Darker, A#1
Block at (0, 161) - Average Color, 137, 100,71 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (23, 161) - Average Color, 116, 139,100 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (46, 161) - Average Color, 137, 98,78 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (69, 161) - Average Color, 64, 65,70 ,- Closest Color:, Darker Violet Darker, F1
Block at (92, 161) - Average Color, 70, 48,68 ,- Closest Color:, Darker Violet Darker, F1
Block at (115, 161) - Average Color, 98, 80,114 ,- Closest Color:, Indigo Light, D#3
Block at (138, 161) - Average Color, 144, 165,125 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (161, 161) - Average Color, 149, 165,82 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (184, 161) - Average Color, 173, 174,105 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (207, 161) - Average Color, 130, 151,63 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (230, 161) - Average Color, 98, 131,55 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (253, 161) - Average Color, 62, 100,62 ,- Closest Color:, Turquoise Darker, C#1
Block at (276, 161) - Average Color, 61, 87,35 ,- Closest Color:, Green Darker, C1
Block at (0, 184) - Average Color, 185, 113,80 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (23, 184) - Average Color, 184, 155,85 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (46, 184) - Average Color, 189, 93,76 ,- Closest Color:, Red Light, G3
Block at (69, 184) - Average Color, 110, 72,63 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (92, 184) - Average Color, 38, 69,99 ,- Closest Color:, Indigo Dark, D#2
Block at (115, 184) - Average Color, 94, 71,102 ,- Closest Color:, Darker Violet Dark, F2
Block at (138, 184) - Average Color, 73, 76,73 ,- Closest Color:, Darker Violet Darker, F1
Block at (161, 184) - Average Color, 108, 132,73 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (184, 184) - Average Color, 129, 157,119 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (207, 184) - Average Color, 81, 135,62 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (230, 184) - Average Color, 48, 107,41 ,- Closest Color:, Green Darker, C1
Block at (253, 184) - Average Color, 26, 78,54 ,- Closest Color:, Indigo Darker, D#1
Block at (276, 184) - Average Color, 29, 73,38 ,- Closest Color:, Indigo Darker, D#1
Block at (0, 207) - Average Color, 204, 117,87 ,- Closest Color:, Red Light, G3
Block at (23, 207) - Average Color, 206, 116,76 ,- Closest Color:, Red Light, G3
Block at (46, 207) - Average Color, 209, 99,72 ,- Closest Color:, Red Light, G3
Block at (69, 207) - Average Color, 42, 82,88 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 207) - Average Color, 8, 79,100 ,- Closest Color:, Turquoise Darker, C#1
Block at (115, 207) - Average Color, 19, 65,74 ,- Closest Color:, Indigo Darker, D#1
Block at (138, 207) - Average Color, 45, 69,58 ,- Closest Color:, Indigo Darker, D#1
Block at (161, 207) - Average Color, 110, 92,103 ,- Closest Color:, Darker Violet Light, F3
Block at (184, 207) - Average Color, 73, 138,128 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 207) - Average Color, 50, 141,107 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 207) - Average Color, 20, 83,43 ,- Closest Color:, Green Darker, C1
Block at (253, 207) - Average Color, 18, 73,44 ,- Closest Color:, Indigo Darker, D#1
Block at (276, 207) - Average Color, 18, 71,31 ,- Closest Color:, Indigo Darker, D#1
Block at (0, 230) - Average Color, 213, 111,65 ,- Closest Color:, Red Light, G3
Block at (23, 230) - Average Color, 207, 107,69 ,- Closest Color:, Red Light, G3
Block at (46, 230) - Average Color, 177, 96,76 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (69, 230) - Average Color, 23, 81,95 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 230) - Average Color, 11, 73,94 ,- Closest Color:, Indigo Darker, D#1
Block at (115, 230) - Average Color, 16, 73,101 ,- Closest Color:, Indigo Darker, D#1
Block at (138, 230) - Average Color, 45, 76,85 ,- Closest Color:, Indigo Dark, D#2
Block at (161, 230) - Average Color, 122, 109,125 ,- Closest Color:, Darker Violet Light, F3
Block at (184, 230) - Average Color, 89, 133,124 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 230) - Average Color, 110, 149,58 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (230, 230) - Average Color, 42, 92,42 ,- Closest Color:, Green Darker, C1
Block at (253, 230) - Average Color, 59, 96,32 ,- Closest Color:, Green Darker, C1
Block at (276, 230) - Average Color, 80, 124,29 ,- Closest Color:, Yellow Darker, A#1
Block at (0, 253) - Average Color, 212, 105,62 ,- Closest Color:, Red Light, G3
Block at (23, 253) - Average Color, 212, 100,54 ,- Closest Color:, Reddish Orange Dark, G#2
Block at (46, 253) - Average Color, 142, 78,59 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (69, 253) - Average Color, 40, 71,68 ,- Closest Color:, Indigo Darker, D#1
Block at (92, 253) - Average Color, 28, 62,84 ,- Closest Color:, Indigo Darker, D#1
Block at (115, 253) - Average Color, 21, 80,109 ,- Closest Color:, Turquoise Darker, C#1
Block at (138, 253) - Average Color, 33, 89,113 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 253) - Average Color, 64, 121,127 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 253) - Average Color, 56, 165,148 ,- Closest Color:, Turquoise Dark, C#2
Block at (207, 253) - Average Color, 76, 154,78 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 253) - Average Color, 108, 138,43 ,- Closest Color:, Lemon Yellow Darker, H/B1
Block at (253, 253) - Average Color, 133, 144,19 ,- Closest Color:, Yellow Darker, A#1
Block at (276, 253) - Average Color, 156, 168,17 ,- Closest Color:, Yellow Darker, A#1
Block at (0, 276) - Average Color, 212, 100,53 ,- Closest Color:, Reddish Orange Dark, G#2
Block at (23, 276) - Average Color, 214, 98,46 ,- Closest Color:, Reddish Orange Dark, G#2
Block at (46, 276) - Average Color, 125, 81,48 ,- Closest Color:, Reddish Orange Darker, G#1
Block at (69, 276) - Average Color, 35, 60,72 ,- Closest Color:, Indigo Darker, D#1
Block at (92, 276) - Average Color, 38, 61,97 ,- Closest Color:, Indigo Dark, D#2
Block at (115, 276) - Average Color, 22, 65,104 ,- Closest Color:, Indigo Dark, D#2
Block at (138, 276) - Average Color, 34, 104,142 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 276) - Average Color, 30, 150,154 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 276) - Average Color, 23, 157,152 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 276) - Average Color, 56, 152,68 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 276) - Average Color, 95, 134,24 ,- Closest Color:, Yellow Darker, A#1
Block at (253, 276) - Average Color, 134, 150,13 ,- Closest Color:, Yellow Darker, A#1
Block at (276, 276) - Average Color, 136, 155,13 ,- Closest Color:, Yellow Darker, A#1
