Block at (0, 210) - Average Color, 210, 117, 78 - Closest Color: Red Light, G3
Block at (30, 210) - Average Color, 204, 101, 76 - Closest Color: Red Light, G3
Block at (60, 210) - Average Color, 80, 86, 84 - Closest Color: Darker Violet Darker, F1
Block at (90, 210) - Average Color, 8, 78, 100 - Closest Color: Turquoise Darker, C#1
Block at (120, 210) - Average Color, 23, 67, 73 - Closest Color: Indigo Darker, D#1
Block at (150, 210) - Average Color, 96, 87, 96 - Closest Color: Darker Violet Dark, F2
Block at (180, 210) - Average Color, 83, 136, 128 - Closest Color: Turquoise Darker, C#1
Block at (210, 210) - Average Color, 62, 124, 73 - Closest Color: Turquoise Darker, C#1
Block at (240, 210) - Average Color, 19, 77, 38 - Closest Color: Green Darker, C1
Block at (270, 210) - Average Color, 35, 84, 36 - Closest Color: Green Darker, C1
Block at (0, 240) - Average Color, 211, 112, 64 - Closest Color: Red Light, G3
Block at (30, 240) - Average Color, 204, 92, 60 - Closest Color: Red Light, G3
Block at (60, 240) - Average Color, 49, 78, 78 - Closest Color: Indigo Darker, D#1
Block at (90, 240) - Average Color, 22, 69, 91 - Closest Color: Indigo Darker, D#1
Block at (120, 240) - Average Color, 20, 80, 109 - Closest Color: Turquoise Darker, C#1
Block at (150, 240) - Average Color, 72, 100, 106 - Closest Color: Turquoise Darker, C#1
Block at (180, 240) - Average Color, 78, 149, 132 - Closest Color: Turquoise Darker, C#1
Block at (210, 240) - Average Color, 100, 149, 64 - Closest Color: Lemon Yellow Darker, B1
Block at (240, 240) - Average Color, 92, 119, 32 - Closest Color: Yellow Darker, A#1
Block at (270, 240) - Average Color, 118, 143, 24 - Closest Color: Yellow Darker, A#1
Block at (0, 270) - Average Color, 212, 101, 54 - Closest Color: Reddish Orange Dark, G#2
Block at (30, 270) - Average Color, 200, 90, 48 - Closest Color: Reddish Orange Dark, G#2
Block at (60, 270) - Average Color, 37, 67, 64 - Closest Color: Indigo Darker, D#1
Block at (90, 270) - Average Color, 35, 61, 93 - Closest Color: Indigo Dark, D#2
Block at (120, 270) - Average Color, 25, 79, 122 - Closest Color: Turquoise Darker, C#1
Block at (150, 270) - Average Color, 41, 131, 150 - Closest Color: Turquoise Darker, C#1
Block at (180, 270) - Average Color, 32, 159, 147 - Closest Color: Turquoise Darker, C#1
Block at (210, 270) - Average Color, 72, 146, 55 - Closest Color: Lemon Yellow Darker, B1
Block at (240, 270) - Average Color, 116, 138, 20 - Closest Color: Yellow Darker, A#1
Block at (270, 270) - Average Color, 153, 165, 13 - Closest Color: Yellow Darker, A#1
