Block at (92, 115) - Average Color, 101, 114,104 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (115, 115) - Average Color, 192, 171,98 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (138, 115) - Average Color, 132, 185,144 ,- Closest Color:, Green Light, C3
Block at (161, 115) - Average Color, 55, 172,172 ,- Closest Color:, Turquoise Dark, C#2
Block at (184, 115) - Average Color, 58, 92,103 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 115) - Average Color, 27, 115,93 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 115) - Average Color, 38, 140,99 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 115) - Average Color, 102, 167,109 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 115) - Average Color, 95, 118,118 ,- Closest Color:, Turquoise Darker, C#1
Block at (0, 138) - Average Color, 214, 203,81 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 138) - Average Color, 155, 180,90 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (46, 138) - Average Color, 66, 173,134 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 138) - Average Color, 98, 148,141 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 138) - Average Color, 173, 147,137 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (115, 138) - Average Color, 207, 176,119 ,- Closest Color:, Reddish Orange Light, G#3
Block at (138, 138) - Average Color, 153, 183,130 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (161, 138) - Average Color, 35, 161,166 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 138) - Average Color, 16, 155,141 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 138) - Average Color, 19, 146,155 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 138) - Average Color, 69, 135,132 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 138) - Average Color, 155, 132,60 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 138) - Average Color, 168, 125,125 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 161) - Average Color, 221, 211,81 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 161) - Average Color, 137, 177,107 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (46, 161) - Average Color, 51, 139,148 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 161) - Average Color, 154, 157,170 ,- Closest Color:, Ultra Violet Dark, F#2
Block at (92, 161) - Average Color, 112, 93,120 ,- Closest Color:, Indigo Light, D#3
Block at (115, 161) - Average Color, 207, 144,120 ,- Closest Color:, Reddish Orange Light, G#3
Block at (138, 161) - Average Color, 103, 124,103 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (161, 161) - Average Color, 46, 122,127 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 161) - Average Color, 30, 125,134 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 161) - Average Color, 27, 144,170 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 161) - Average Color, 54, 138,149 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 161) - Average Color, 161, 119,55 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 161) - Average Color, 173, 101,83 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (0, 184) - Average Color, 215, 195,98 ,- Closest Color:, Reddish Orange Light, G#3
Block at (23, 184) - Average Color, 158, 148,132 ,- Closest Color:, Lemon Yellow Darker, B1
